229,Daniil Medvedev
278,Emilio Gomez
155,Lukas Lacko
36,Andrey Rublev
100,Ivo Karlovic
105,Jordan Thompson
332,Rafael Arevalo
122,Nikoloz Basilashvili
233,Laslo Djere
43,Alexander Kudryavtsev
57,Rafael Nadal
425,Sumit Nagal
119,Noah Rubin
346,Ignacio Garcia
9,Viktor Troicki
232,Adam Pavlasek
373,Christopher Rungkat
216,Frederico Ferreira Silva
249,Albano Olivetti
405,Tomas Vaise
213,Michael Linzer
220,Cedrik Marcel Stebe
226,Andreas Beck
14,Radek Stepanek
46,Taro Daniel
109,Pablo Cuevas
60,Leonardo Mayer
69,Teymuraz Gabashvili
42,Luca Vanni
388,Karim Mohamed Maamoun
331,Luis David Martinez
369,Ti Chen
152,Michael Berrer
5,Marin Cilic
199,Nicolas Kicker
387,Altug Celikbilek
224,Filippo Volandri
112,Inigo Cervantes Huegun
266,Yann Marti
337,Ayed Zatar
212,Adrian Ungur
104,Alexandr Dolgopolov
180,Juan Martin Del Potro
399,Janis Podzus
287,Guido Andreozzi
238,Fabrice Martin
114,Filip Krajinovic
167,Horacio Zeballos
259,Marvin Moeller
186,Thiago Monteiro
326,Matwe Middelkoop
53,Vasek Pospisil
243,Alexander Ward
390,Jarkko Nieminen
242,Jan Hernych
